full_name,age,birthday_GMT,league,position,Current Club,nationality,gender
Callum Wilson,30,2/27/1992,Premier League,Forward,AFC Bournemouth,England,MALE
Calum Chambers,27,1/20/1995,Premier League,Defender,Fulham,England,MALE
Cameron John,23,8/24/1999,Premier League,Defender,Wolverhampton Wanderers,England,MALE
Carl Jenkinson,30,2/8/1992,Premier League,Defender,Arsenal,England,MALE
Carlos Sánchez,36,2/6/1986,Premier League,Midfielder,West Ham United,Colombia,MALE
Cedric Soares,31,8/31/1991,Premier League,Defender,Southampton,Portugal,MALE
Cenk Tosun,31,6/7/1991,Premier League,Forward,Everton,Turkey,MALE
Cesar Azpilicueta,33,8/28/1989,Premier League,Defender,Chelsea,Spain,MALE
Cesc Fabregas,35,5/4/1987,Premier League,Midfielder,Chelsea,Spain,MALE
Charlie Austin,33,7/5/1989,Premier League,Forward,Southampton,England,MALE
Charlie Daniels,36,9/7/1986,Premier League,Defender,AFC Bournemouth,England,MALE
Charlie Taylor,29,9/18/1993,Premier League,Defender,Burnley,England,MALE
Cheikhou Kouyaté,32,12/21/1989,Premier League,Midfielder,Crystal Palace,Senegal,MALE
Chris Löwe,33,4/16/1989,Premier League,Defender,Huddersfield Town,Germany,MALE
Chris Mepham,24,11/5/1997,Premier League,Defender,AFC Bournemouth,Wales,MALE
Chris Smalling,32,11/22/1989,Premier League,Defender,Manchester United,England,MALE
Chris Wood,30,12/7/1991,Premier League,Forward,Burnley,New Zealand,MALE
Christian Atsu Twasam,30,1/10/1992,Premier League,Midfielder,Newcastle United,Ghana,MALE
Christian Benteke,31,12/3/1990,Premier League,Forward,Crystal Palace,Belgium,MALE
Christian Eriksen,30,2/14/1992,Premier League,Midfielder,Tottenham Hotspur,Denmark,MALE
Christian Fuchs,36,4/7/1986,Premier League,Defender,Leicester City,Austria,MALE
Christian Kabasele,31,2/24/1991,Premier League,Defender,Watford,Belgium,MALE
Christopher Schindler,32,4/29/1990,Premier League,Defender,Huddersfield Town,Germany,MALE
Ciaran Clark,33,9/26/1989,Premier League,Defender,Newcastle United,Republic of Ireland,MALE
Claudio Bravo,39,4/13/1983,Premier League,Goalkeeper,Manchester City,Chile,MALE
Collin Quaner,31,6/18/1991,Premier League,Forward,Huddersfield Town,Germany,MALE
Connor Wickham,29,3/31/1993,Premier League,Forward,Crystal Palace,England,MALE
Conor Coady,29,2/25/1993,Premier League,Midfielder,Wolverhampton Wanderers,England,MALE
Conor Coventry,22,3/25/2000,Premier League,Midfielder,West Ham United,Republic of Ireland,MALE
Craig Cathcart,33,2/6/1989,Premier League,Defender,Watford,Northern Ireland,MALE
Curtis Jones,21,1/30/2001,Premier League,Midfielder,Liverpool,England,MALE
Cyrus Christie,30,9/30/1992,Premier League,Defender,Fulham,Republic of Ireland,MALE
Dale Stephens,33,6/12/1989,Premier League,Midfielder,Brighton & Hove Albion,England,MALE
Dan Burn,30,5/9/1992,Premier League,Defender,Brighton & Hove Albion,England,MALE
Dan Gosling,32,2/1/1990,Premier League,Midfielder,AFC Bournemouth,England,MALE
Daniel Amartey,27,12/21/1994,Premier League,Midfielder,Leicester City,Ghana,MALE
Daniel Sturridge,33,9/1/1989,Premier League,Forward,Liverpool,England,MALE
Daniel Williams,33,3/8/1989,Premier League,Midfielder,Huddersfield Town,USA,MALE
Danilo,31,7/15/1991,Premier League,Defender,Manchester City,Brazil,MALE
Danny Drinkwater,32,3/5/1990,Premier League,Midfielder,Chelsea,England,MALE
Danny Ings,30,7/23/1992,Premier League,Forward,Southampton,England,MALE
Danny Rose,32,7/2/1990,Premier League,Defender,Tottenham Hotspur,England,MALE
Danny Simpson,35,1/4/1987,Premier League,Defender,Leicester City,England,MALE
Danny Ward,29,6/22/1993,Premier League,Goalkeeper,Leicester City,Wales,MALE
Danny Ward,31,12/9/1990,Premier League,Forward,Cardiff City,England,MALE
Danny Welbeck,31,11/26/1990,Premier League,Forward,Arsenal,England,MALE
Daryl Janmaat,33,7/22/1989,Premier League,Defender,Watford,Netherlands,MALE
David Brooks,25,7/8/1997,Premier League,Forward,AFC Bournemouth,England,MALE
David Button,33,2/27/1989,Premier League,Goalkeeper,Brighton & Hove Albion,England,MALE
David de Gea,31,11/7/1990,Premier League,Goalkeeper,Manchester United,Spain,MALE
David Junior Hoilett,32,6/5/1990,Premier League,Forward,Cardiff City,Canada,MALE
David Luiz,35,4/22/1987,Premier League,Defender,Chelsea,Brazil,MALE
David Silva,36,1/8/1986,Premier League,Midfielder,Manchester City,Spain,MALE
Davide Zappacosta,30,6/11/1992,Premier League,Defender,Chelsea,Italy,MALE
Davinson Sánchez,26,6/12/1996,Premier League,Defender,Tottenham Hotspur,Colombia,MALE
Davy Pröpper,31,9/2/1991,Premier League,Midfielder,Brighton & Hove Albion,Netherlands,MALE
